0.763,0.694,0.257,0.311, 0.135,0.860,0.338,0.259, 0.553,0.166,0.488,0.212
0.802,0.058,0.348,0.259, 0.214,0.056,0.282,0.048, 0.667,0.700,0.517,0.492
0.564,0.345,0.485,0.455, 0.268,0.670,0.252,0.050, 0.721,0.813,0.374,0.247
0.723,0.185,0.284,0.200, 0.474,0.615,0.529,0.336, 0.292,0.160,0.170,0.146
0.732,0.397,0.228,0.412, 0.268,0.848,0.188,0.211, 0.168,0.380,0.244,0.345
0.025,0.173,0.101,0.164, 0.781,0.370,0.242,0.494, 0.321,0.789,0.184,0.426
0.294,0.537,0.295,0.375, 0.753,0.821,0.244,0.257, 0.755,0.276,0.269,0.291
0.775,0.729,0.161,0.246, 0.703,0.197,0.166,0.237, 0.306,0.443,0.214,0.579
0.887,0.672,0.363,0.346, 0.505,0.326,0.464,0.296, 0.279,0.597,0.186,0.261
0.478,0.144,0.533,0.181, 0.198,0.752,0.301,0.270, 0.701,0.647,0.277,0.212
0.412,0.693,0.531,0.289, 0.691,0.199,0.436,0.169, 0.224,0.333,0.249,0.134
0.189,0.240,0.399,0.181, 0.638,0.786,0.558,0.302, 0.861,0.371,0.220,0.163
0.540,0.464,0.318,0.415, 0.215,0.308,0.104,0.316, 0.266,0.748,0.089,0.222
0.238,0.569,0.254,0.418, 0.746,0.285,0.128,0.296, 0.825,0.673,0.179,0.297
0.176,0.686,0.236,0.184, 0.840,0.466,0.283,0.583, 0.257,0.285,0.135,0.193
0.220,0.424,0.259,0.538, 0.668,0.697,0.261,0.168, 0.845,0.195,0.229,0.074
0.808,0.309,0.072,0.355, 0.747,0.812,0.193,0.206, 0.344,0.514,0.243,0.424
0.271,0.793,0.323,0.120, 0.743,0.534,0.258,0.372, 0.205,0.375,0.227,0.237
0.693,0.468,0.237,0.612, 0.320,0.667,0.187,0.216, 0.127,0.332,0.284,0.350
0.668,0.393,0.310,0.198, 0.465,0.770,0.612,0.268, 0.262,0.211,0.228,0.251
0.354,0.142,0.324,0.160, 0.384,0.768,0.425,0.391, 0.776,0.286,0.230,0.126
0.359,0.635,0.238,0.486, 0.797,0.275,0.204,0.324, 0.727,0.752,0.306,0.205
0.712,0.103,0.389,0.324, 0.175,0.281,0.152,0.147, 0.586,0.659,0.618,0.310
0.306,0.769,0.245,0.194, 0.716,0.483,0.255,0.431, 0.210,0.321,0.209,0.200
0.340,0.354,0.138,0.064, 0.550,0.770,0.460,0.138, 0.838,0.139,0.193,0.158
0.647,0.434,0.207,0.586, 0.006,0.260,0.186,0.152, 0.085,0.748,0.212,0.280
0.804,0.213,0.173,0.357, 0.703,0.790,0.167,0.319, 0.268,0.403,0.327,0.538
0.824,0.798,0.204,0.153, 0.726,0.225,0.177,0.396, 0.378,0.487,0.223,0.341
