0.740,0.766,0.260,0.234, 0.240,0.766,0.240,0.234, 0.500,0.266,0.500,0.266
0.792,0.141,0.208,0.141, 0.292,0.141,0.292,0.141, 0.500,0.641,0.500,0.359
0.500,0.297,0.500,0.297, 0.196,0.797,0.196,0.203, 0.696,0.797,0.304,0.203
0.686,0.202,0.314,0.202, 0.500,0.702,0.500,0.298, 0.186,0.202,0.186,0.202
0.708,0.500,0.292,0.500, 0.208,0.793,0.208,0.207, 0.208,0.293,0.208,0.293
0.202,0.201,0.202,0.201, 0.702,0.500,0.298,0.500, 0.202,0.701,0.202,0.299
0.273,0.500,0.273,0.500, 0.773,0.724,0.227,0.276, 0.773,0.224,0.227,0.224
0.769,0.710,0.231,0.290, 0.769,0.210,0.231,0.210, 0.269,0.500,0.269,0.500
0.745,0.775,0.255,0.225, 0.500,0.275,0.500,0.275, 0.245,0.775,0.245,0.225
0.500,0.251,0.500,0.251, 0.229,0.751,0.229,0.249, 0.729,0.751,0.271,0.249
0.500,0.729,0.500,0.271, 0.683,0.229,0.317,0.229, 0.183,0.229,0.183,0.229
0.297,0.209,0.297,0.209, 0.500,0.709,0.500,0.291, 0.797,0.209,0.203,0.209
0.710,0.500,0.290,0.500, 0.210,0.256,0.210,0.256, 0.210,0.756,0.210,0.244
0.265,0.500,0.265,0.500, 0.765,0.208,0.235,0.208, 0.765,0.708,0.235,0.292
0.208,0.761,0.208,0.239, 0.708,0.500,0.292,0.500, 0.208,0.261,0.208,0.261
0.262,0.500,0.262,0.500, 0.762,0.720,0.238,0.280, 0.762,0.220,0.238,0.220
0.815,0.249,0.185,0.249, 0.815,0.749,0.185,0.251, 0.315,0.500,0.315,0.500
0.249,0.839,0.249,0.161, 0.749,0.500,0.251,0.500, 0.249,0.339,0.249,0.339
0.722,0.500,0.278,0.500, 0.222,0.781,0.222,0.219, 0.222,0.281,0.222,0.281
0.709,0.245,0.291,0.245, 0.500,0.745,0.500,0.255, 0.209,0.245,0.209,0.245
0.270,0.189,0.270,0.189, 0.500,0.689,0.500,0.311, 0.770,0.189,0.230,0.189
0.255,0.500,0.255,0.500, 0.755,0.308,0.245,0.308, 0.755,0.808,0.245,0.192
0.674,0.201,0.326,0.201, 0.174,0.201,0.174,0.201, 0.500,0.701,0.500,0.299
0.247,0.720,0.247,0.280, 0.747,0.500,0.253,0.500, 0.247,0.220,0.247,0.220
0.275,0.229,0.275,0.229, 0.500,0.729,0.500,0.271, 0.775,0.229,0.225,0.229
0.733,0.500,0.267,0.500, 0.233,0.240,0.233,0.240, 0.233,0.740,0.233,0.260
0.812,0.292,0.188,0.292, 0.812,0.792,0.188,0.208, 0.312,0.500,0.312,0.500
0.780,0.799,0.220,0.201, 0.780,0.299,0.220,0.299, 0.280,0.500,0.280,0.500
0.327,0.789,0.327,0.211, 0.500,0.289,0.500,0.289, 0.827,0.789,0.173,0.211
0.233,0.769,0.233,0.231, 0.500,0.269,0.500,0.269, 0.733,0.769,0.267,0.231
0.190,0.231,0.190,0.231, 0.190,0.731,0.190,0.269, 0.690,0.500,0.310,0.500
0.244,0.744,0.244,0.256, 0.744,0.500,0.256,0.500, 0.244,0.244,0.244,0.244
0.769,0.230,0.231,0.230, 0.269,0.230,0.269,0.230, 0.500,0.730,0.500,0.270
0.500,0.280,0.500,0.280, 0.704,0.780,0.296,0.220, 0.204,0.780,0.204,0.220
0.255,0.500,0.255,0.500, 0.755,0.697,0.245,0.303, 0.755,0.197,0.245,0.197
0.229,0.775,0.229,0.225, 0.729,0.500,0.271,0.500, 0.229,0.275,0.229,0.275
0.742,0.752,0.258,0.248, 0.500,0.252,0.500,0.252, 0.242,0.752,0.242,0.248
0.766,0.245,0.234,0.245, 0.266,0.245,0.266,0.245, 0.500,0.745,0.500,0.255
0.275,0.500,0.275,0.500, 0.775,0.196,0.225,0.196, 0.775,0.696,0.225,0.304
0.754,0.209,0.246,0.209, 0.254,0.500,0.254,0.500, 0.754,0.709,0.246,0.291
0.671,0.500,0.329,0.500, 0.171,0.640,0.171,0.360, 0.171,0.140,0.171,0.140
0.215,0.772,0.215,0.228, 0.500,0.272,0.500,0.272, 0.715,0.772,0.285,0.228
